Player Name,Team,Season,Archetype,Composite Score,Salary,Value Per Dollar (VORPD),Offensive Rating (Adjusted),Defensive Rating (Adjusted),ON/OFF Differential,Influence Score,True Shooting %,Blocks Per Game,Steals Per Game,Assist % (Adjusted),Three-Point %,Is Real Shooter,Salary ($M),Rank
Sam Hauser,BOS,2022-23,Bench / Role Player,17.51,8034767.0,0.0779,-1.2348993288590662,1.667114093959723,-0.4749661713634674,0.0860719116465863,0.6104390896921017,0.3,0.4,-0.0546957494407158,0.3961280810120567,1,8.03,356
Miles Bridges,CHA,2021-22,Versatile Scorer,50.23,18179731.0,1.6326,2.158452326116992,-1.3735605711653596,4.847479051217256,0.1315597286631483,0.587320217246198,0.8,0.9,-0.0025508982035928,0.3418691403893942,1,18.18,79
Jabari Smith Jr.,HOU,2022-23,Bench / Role Player,23.7,9879147.0,0.6899,0.7247572366595663,-2.800884737507335,-4.927696022662425,0.0967413170799151,0.5286410769394267,0.9,0.5,-0.0727777058478991,0.3314542362589798,1,9.88,312
Jaden McDaniels,MIN,2022-23,Perimeter Scorer,35.76,19512179.0,0.9674,1.2488404548080936,0.5326807627143627,5.119168406946296,0.093812565192251,0.6013625973862247,1.0,0.9,-0.0701954871754693,0.383176572612913,1,19.51,172
Royce O'Neale,PHX,2023-24,Defensive Wing,36.69,8908981.0,2.1958,-0.0170577128171177,1.876348409881629,3.0698750742982983,0.0746659461755033,0.5572085535485327,0.6,0.7,0.0011371808544737,0.3716520554000294,1,8.91,165
Tim Hardaway Jr.,DAL,2023-24,Bench / Role Player,24.61,2020490.0,3.7031,-0.3033585511233379,-1.3347776249426917,-4.753603772824198,0.1208408458331468,0.5492765719688493,0.1,0.5,-0.0399759157369198,0.3594403184565318,1,2.02,287
Franz Wagner,ORL,2021-22,Perimeter Scorer,54.35,28114408.0,1.2022,2.642684083683725,0.5026281492496519,7.856536941625764,0.1164190605070417,0.5597070216684698,0.4,0.9,0.0048708294875739,0.3575740780210393,1,28.11,59
Anthony Edwards,MIN,2023-24,Elite Playmaker,58.81,40079866.0,1.04,2.048756871165124,-1.740673131140295,0.8240172406188521,0.1805592910928439,0.5750295894676558,0.5,1.3,0.0490623355989545,0.362702837957684,1,40.08,35
Jalen Brunson,DAL,2021-22,Versatile Scorer,48.35,25410901.0,1.094,3.56426182671339,-1.931138514807932,0.8448290965068956,0.1243890914644125,0.5785539137879654,0.0,0.8,0.0751594341719999,0.3670508144343242,1,25.41,90
Jonas Valančiūnas,NOP,2022-23,Bench / Role Player,22.47,8315018.0,0.6718,0.8279995510144225,-2.447198672998196,-4.641020708128622,0.137733053448293,0.6014543818702752,0.7,0.3,-0.0381493126467387,0.3622335031926222,1,8.32,320
