PLAYER_ID,PLAYER_NAME,SEASON,ON_COURT_NET,OFF_COURT_NET,ON_OFF_DIFF,ON_MIN_TOTAL
202738,Isaiah Thomas,2023-24,-38.18,3.2,-41.39,20
202954,Brad Wanamaker,2021-22,-5.39,-1.35,-4.04,316
203076,Anthony Davis,2021-22,-2.26,-3.27,1,1405
203076,Anthony Davis,2022-23,4.63,-3.08,7.71,1902
203076,Anthony Davis,2023-24,1.7,-3.43,5.13,2699
203078,Bradley Beal,2021-22,-3.11,-3.93,0.82,1443
203078,Bradley Beal,2022-23,1.03,-2.35,3.39,1675
203078,Bradley Beal,2023-24,3.33,2.72,0.6,1761
203081,Damian Lillard,2021-22,-1.13,-10.4,9.28,1060
203081,Damian Lillard,2022-23,3.12,-10.72,13.83,2102
203081,Damian Lillard,2023-24,6.55,-5.27,11.82,2579
203082,Terrence Ross,2021-22,-11.43,-5.38,-6.05,1448
203082,Terrence Ross,2022-23,-1.81,-0.29,-1.52,1328
203083,Andre Drummond,2021-22,1.22,2.3,-1.08,1435
203083,Andre Drummond,2022-23,2.53,1.7,0.82,849
203083,Andre Drummond,2023-24,0.87,-1.73,2.61,1350
203084,Harrison Barnes,2021-22,-6.78,-2.08,-4.7,2583
203084,Harrison Barnes,2022-23,4.98,0.25,4.73,2654
203084,Harrison Barnes,2023-24,-1.37,6.64,-8.01,2383
203085,Austin Rivers,2021-22,1.9,3.4,-1.5,1484
203085,Austin Rivers,2022-23,-5.93,2.74,-8.66,1010
203086,ID_203086,2022-23,-17.5,1.94,-19.44,113
203087,Jeremy Lamb,2021-22,2.06,-3.63,5.7,931
203090,Maurice Harkless,2021-22,-2.7,-5.82,3.12,864
203095,Evan Fournier,2021-22,-1.73,3.49,-5.22,2355
203095,Evan Fournier,2022-23,-4.53,4.3,-8.83,461
203095,Evan Fournier,2023-24,-10.44,-6.64,-3.81,578
203107,Tomas Satoransky,2021-22,-8.12,-1.27,-6.85,897
203109,Jae Crowder,2021-22,10.55,6.27,4.27,1885
203109,Jae Crowder,2022-23,-1.8,1.69,-3.49,338
203109,Jae Crowder,2023-24,-1.07,3.85,-4.92,1160
203110,Draymond Green,2021-22,7.62,4.57,3.05,1331
203110,Draymond Green,2022-23,6.67,-4.72,11.39,2294
203110,Draymond Green,2023-24,5.43,0.03,5.4,1490
203114,Khris Middleton,2021-22,5.05,-0.46,5.51,2133
203114,Khris Middleton,2022-23,5.35,0.38,4.97,801
203114,Khris Middleton,2023-24,3.05,2.03,1.03,1492
203115,Will Barton,2021-22,2.56,3.22,-0.65,2277
203115,Will Barton,2022-23,-7.93,1.17,-9.09,988
203145,Kent Bazemore,2021-22,-9.65,-1.86,-7.79,541
203200,Justin Holiday,2021-22,-4.3,-2.14,-2.17,2047
203200,Justin Holiday,2022-23,-6.94,1.08,-8.01,706
203200,Justin Holiday,2023-24,3.25,5.9,-2.65,857
203210,JaMychal Green,2021-22,-3.18,5.11,-8.29,1085
203210,JaMychal Green,2022-23,-8.33,4.45,-12.78,794
203457,Nerlens Noel,2021-22,-5.22,1.31,-6.53,564
203457,Nerlens Noel,2022-23,-15.21,-5.78,-9.43,197
203458,Alex Len,2021-22,-4.85,-5.2,0.35,620
203458,Alex Len,2022-23,9.73,3.15,6.57,161
203458,Alex Len,2023-24,15.32,0.13,15.19,445
203463,Ben McLemore,2021-22,-11.36,-6.25,-5.11,1285
203468,CJ McCollum,2021-22,-0.79,-6.76,5.97,2144
203468,CJ McCollum,2022-23,0.78,4.62,-3.85,2642
203468,CJ McCollum,2023-24,3.61,4.96,-1.35,2154
203469,Cody Zeller,2021-22,0.18,-8.71,8.89,354
203469,Cody Zeller,2023-24,4.92,4.16,0.75,325
203471,Dennis Schröder,2021-22,-0.13,6.66,-6.79,1835
203471,Dennis Schröder,2022-23,3.19,-1.97,5.15,1987
203471,Dennis Schröder,2023-24,-2.5,-6,3.5,2493
203473,Dewayne Dedmon,2022-23,-9.24,5.17,-14.4,79
203476,Gorgui Dieng,2021-22,-9.81,2.72,-12.52,371
203476,Gorgui Dieng,2022-23,-19.26,-7.91,-11.35,361
203482,Kelly Olynyk,2021-22,-3.95,-7.57,3.62,767
203482,Kelly Olynyk,2022-23,-0.01,-1,1,1944
203482,Kelly Olynyk,2023-24,-7.46,-4.77,-2.68,1752
203484,Kentavious Caldwell-Pope,2021-22,-4.93,-1.79,-3.14,2328
203484,Kentavious Caldwell-Pope,2022-23,9.01,-7.12,16.13,2386
203484,Kentavious Caldwell-Pope,2023-24,11.42,-4.21,15.63,2400
203486,Mason Plumlee,2021-22,1.15,1.52,-0.37,1786
203486,Mason Plumlee,2022-23,-5.11,-2.89,-2.22,2055
203486,Mason Plumlee,2023-24,0.7,3.77,-3.08,676
203487,ID_203487,2022-23,-37.27,-1.25,-36.02,44
203488,Mike Muscala,2021-22,2.42,-9.83,12.25,595
203488,Mike Muscala,2022-23,8.38,2.92,5.47,945
203488,Mike Muscala,2023-24,-6.99,-5.17,-1.82,608
203490,Otto Porter Jr.,2021-22,6.97,4.85,2.11,1397
203490,Otto Porter Jr.,2022-23,-3.58,1.63,-5.22,145
203490,Otto Porter Jr.,2023-24,6.99,-6.15,13.14,171
203493,Reggie Bullock Jr.,2021-22,7.9,-0.6,8.5,1904
203493,Reggie Bullock Jr.,2022-23,-1.62,3.14,-4.76,2374
203493,Reggie Bullock Jr.,2023-24,-5.57,2.86,-8.42,413
203496,Robert Covington,2021-22,1.38,-8.76,10.14,1939
203496,Robert Covington,2022-23,1.29,1.68,-0.39,780
203496,Robert Covington,2023-24,10.65,3.36,7.31,492
203497,Rudy Gobert,2021-22,9.21,2.65,6.56,2119
203497,Rudy Gobert,2022-23,0.17,0.95,-0.77,2145
203497,Rudy Gobert,2023-24,8.27,3.5,4.77,2591
