PLAYER_A_ID,PLAYER_B_ID,GROUP_NAME,MIN,DEF_SYNERGY,OFF_SYNERGY,NET_SYNERGY,W_NET_SYNERGY_SCALED,ARCHETYPE_A,ARCHETYPE_B
1627741,1628964,B. Hield - M. Bamba,177,5.1,-0.7,4.4,3.52,Perimeter Scorer,Bench / Role Player
203471,1628971,D. Schroder - B. Brown,177,7.3,-3.2,4.1,3.28,Versatile Scorer,Versatile Scorer
1630534,1631241,O. Agbaji - J. Freeman-Liberty,177,5.15,0.15,5.3,4.24,Bench / Role Player,Bench / Role Player
1627783,1630201,P. Siakam - M. Flynn,177,6.55,0.8,7.35,5.88,Perimeter Scorer,Versatile Scorer
1626179,1641733,T. Rozier - N. Smith Jr.,177,-17.95,-6,-23.95,-19.16,Versatile Scorer,Bench / Role Player
1627827,1630570,D. Finney-Smith - T. Watford,176,4.2,-10.5,-6.3,-5.04,Defensive Wing,Bench / Role Player
1628960,1629642,G. Allen - N. Little,175,-7.4,-11.1,-18.5,-14.8,Perimeter Scorer,Bench / Role Player
1630164,1630165,J. Wiseman - K. Hayes,175,1.2,-3.85,-2.65,-2.12,Bench / Role Player,Versatile Scorer
1628418,1628997,T. Bryant - C. Martin,175,-3.7,1.7,-2,-1.6,Defensive Wing,Versatile Scorer
1629659,1641707,T. Horton-Tucker - T. Hendricks,175,0.85,-0.05,0.8,0.64,Versatile Scorer,Bench / Role Player
1629234,1629626,D. Eubanks - B. Bol,174,-0.55,-7.2,-7.75,-6.2,Bench / Role Player,Bench / Role Player
1630163,1630550,L. Ball - J. Thor,174,4.65,7.85,12.5,10,Elite Playmaker,Defensive Wing
1641733,1641877,N. Smith Jr. - N. Mensah,174,-1.2,-6.85,-8.05,-6.44,Bench / Role Player,Bench / Role Player
1626166,1630178,C. Payne - T. Maxey,173,-3.4,-3.95,-7.35,-5.88,Bench / Role Player,Elite Playmaker
1627759,1629052,J. Brown - O. Brissett,173,2.3,-6.6,-4.3,-3.44,Versatile Scorer,Bench / Role Player
1628379,1630533,L. Kennard - Z. Williams,173,-6.4,-7.25,-13.65,-10.92,Bench / Role Player,Bench / Role Player
1630219,1631133,S. Mays - J. Walker,173,-4.25,-3.7,-7.95,-6.36,Bench / Role Player,Bench / Role Player
202711,1630587,B. Bogdanovic - I. Livers,172,-10.35,5.9,-4.45,-3.56,Bench / Role Player,Bench / Role Player
1630217,1631367,D. Bane - J. Gilyard,172,-1.35,1.2,-0.15,-0.12,Elite Playmaker,Bench / Role Player
201142,1629626,K. Durant - B. Bol,172,8.85,-8.9,-0.05,-0.04,Elite Playmaker,Bench / Role Player
1628969,1641730,M. Bridges - N. Clowney,172,2.5,-5.1,-2.6,-2.08,Versatile Scorer,Bench / Role Player
1630583,1630590,S. Aldama - S. Pippen Jr.,172,-7.8,3.8,-4,-3.2,Bench / Role Player,Elite Playmaker
1628981,1630249,B. Fernando - V. Krejci,171,-3.9,-2.85,-6.75,-5.4,Bench / Role Player,Perimeter Scorer
203967,1626172,D. Šarić - K. Looney,171,-5.85,-1.65,-7.5,-6,Bench / Role Player,Bench / Role Player
203994,1629642,J. Nurkic - N. Little,171,-11,-1.35,-12.35,-9.88,Defensive Wing,Bench / Role Player
203935,1631223,M. Smart - D. Roddy,171,3.9,4.7,8.6,6.88,Elite Playmaker,Bench / Role Player
1629656,1630193,Q. Grimes - I. Quickley,171,3.85,-2.75,1.1,0.88,Defensive Wing,Perimeter Scorer
202066,1641711,G. Temple - G. Dick,170,1.85,-0.5,1.35,1.08,Bench / Role Player,Bench / Role Player
1629684,1630197,G. Williams - A. Pokusevski,170,-2.7,-8.85,-11.55,-9.24,Bench / Role Player,Defensive Wing
203486,1630538,M. Plumlee - B. Hyland,170,-2.7,-7.95,-10.65,-8.52,Bench / Role Player,Bench / Role Player
1629023,1630550,P. Washington - J. Thor,170,-1.85,6.45,4.6,3.68,Versatile Scorer,Defensive Wing
1631097,1641767,B. Mathurin - B. Sheppard,169,6.35,3.4,9.75,7.8,Bench / Role Player,Defensive Wing
1627734,1628426,D. Sabonis - A. Vezenkov,169,-4.6,-4.15,-8.75,-7,Elite Playmaker,Bench / Role Player
