Player Name,Team,Season,Archetype,Composite Score,Salary,Value Per Dollar (VORPD),Offensive Rating (Adjusted),Defensive Rating (Adjusted),ON/OFF Differential,Influence Score,True Shooting %,Blocks Per Game,Steals Per Game,Assist % (Adjusted),Three-Point %,Is Real Shooter,Salary ($M),Rank
Shaedon Sharpe,POR,2022-23,Bench / Role Player,28.72,6719193.0,0.4858,-0.5600000000000023,-2.086666666666673,-6.474244527438632,0.105933596521424,0.5695354651689464,0.3,0.5,-0.0685333333333333,0.36,1,6.72,319
Moritz Wagner,ORL,2023-24,Perimeter Scorer,42.39,4399497.0,3.8491,1.9071428571428584,-1.271428571428558,1.6535669806947515,0.1439813995200202,0.6544609069091829,0.3,0.5,-0.0350714285714285,0.33,1,4.4,194
Corey Kispert,WAS,2023-24,Bench / Role Player,34.35,12296593.0,0.7233,0.1846153846153839,-2.792307692307688,-1.3065076115773586,0.1170573623356656,0.6128657713909197,0.2,0.5,-0.0355384615384615,0.383,1,12.3,284
Dorian Finney-Smith,DAL,2021-22,Perimeter Scorer,44.31,9235303.0,2.0415,5.271428571428558,-3.3142857142857167,1.8435791236227688,0.0823293625145991,0.5965895834391239,0.5,1.1,-0.0669285714285714,0.395,1,9.24,173
Tyus Jones,MEM,2022-23,Versatile Scorer,50.04,5599339.0,4.3905,0.607142857142847,-1.9285714285714164,-5.426420876377231,0.0964687096413496,0.5512497693791407,0.1,1.0,0.1539999999999999,0.371,1,5.6,113
Evan Fournier,NYK,2021-22,Versatile Scorer,40.89,925258.0,16.6808,1.971428571428575,-4.178571428571431,-4.902012667971951,0.1115752775541048,0.5551008833537556,0.3,1.0,-0.0197857142857142,0.389,1,0.93,211
Sam Hauser,BOS,2022-23,Bench / Role Player,29.62,8034767.0,0.5182,-1.7142857142857224,2.3142857142857025,-0.6841890169105491,0.0871701226725082,0.6182278203723987,0.3,0.4,-0.0759285714285714,0.418,1,8.03,315
Miles Bridges,CHA,2021-22,Perimeter Scorer,54.04,18179731.0,1.5723,2.538461538461533,-1.6153846153846132,5.687999474956067,0.1320745303221433,0.5896184389381397,0.8,0.9,-0.003,0.331,1,18.18,89
Jabari Smith Jr.,HOU,2022-23,Bench / Role Player,29.74,9879147.0,0.4336,0.8727272727272606,-3.372727272727289,-5.9298259108093365,0.095698645363462,0.5229434172866781,0.9,0.5,-0.0876363636363636,0.307,1,9.88,314
Jaden McDaniels,MIN,2022-23,Perimeter Scorer,44.87,19512179.0,0.995,1.507142857142853,0.642857142857153,6.16466729809207,0.0943779714442994,0.604986996437817,1.0,0.9,-0.0847142857142857,0.398,1,19.51,159
Royce O'Neale,PHX,2023-24,Defensive Wing,44.97,8908981.0,2.1904,-0.0214285714285864,2.357142857142847,3.845771084897392,0.0742274898008338,0.5539364910509987,0.6,0.7,0.0014285714285714,0.37,1,8.91,167
Tim Hardaway Jr.,DAL,2023-24,Bench / Role Player,33.12,2020490.0,3.7931,-0.375,-1.6500000000000057,-5.896424345785235,0.120209814503412,0.5464082477427818,0.1,0.5,-0.0494166666666666,0.353,1,2.02,294
Franz Wagner,ORL,2021-22,Perimeter Scorer,58.65,28114408.0,1.1807,3.1875,0.6062500000000028,9.480174089190664,0.1163611538010303,0.5594286240434152,0.4,0.9,0.0058749999999999,0.354,1,28.11,66
Anthony Edwards,MIN,2023-24,Elite Playmaker,64.04,40079866.0,0.9627,2.418181818181808,-2.054545454545448,0.9480324343321158,0.1805554391303858,0.5750173220712925,0.5,1.3,0.0579090909090909,0.357,1,40.08,40
Jalen Brunson,DAL,2021-22,Versatile Scorer,53.96,25410901.0,1.1217,4.271428571428558,-2.3142857142857167,0.9913559376761016,0.1247674675609216,0.580313802608938,0.0,0.8,0.0900714285714285,0.373,1,25.41,91
Jonas Valančiūnas,NOP,2022-23,Bench / Role Player,31.33,8315018.0,0.7064,1.038461538461533,-3.0692307692307708,-5.833112985369268,0.138484120551939,0.6047341508818297,0.7,0.3,-0.0478461538461538,0.349,1,8.32,305
Sam Hauser,BOS,2023-24,Perimeter Scorer,36.53,8838276.0,1.253,1.3499999999999943,2.071428571428584,2.1969407904548115,0.0901765450428132,0.6176475687863924,0.3,0.5,-0.0715714285714285,0.424,1,8.84,261
Grant Williams,BOS,2022-23,Bench / Role Player,27.3,10915111.0,0.1689,-0.914285714285711,-0.2857142857142918,-4.1386319193958805,0.0765528822984244,0.5980693929564411,0.4,0.5,-0.0659285714285714,0.395,1,10.92,331
Mason Plumlee,LAC,2022-23,Bench / Role Player,34.18,2417401.0,3.6088,-0.0117647058823564,-3.358823529411765,-1.368697838147978,0.0986702101274221,0.6622161753518266,0.6,0.6,-0.0039411764705882,0.3503689839572192,0,2.42,273
Malik Beasley,MIL,2023-24,Perimeter Scorer,43.87,15400000.0,1.1957,2.966666666666669,1.673333333333332,7.904679441020088,0.084944445211572,0.5982003183913527,0.1,0.7,-0.0919333333333333,0.413,1,15.4,178
Andre Drummond,CHI,2023-24,Perimeter Scorer,46.06,4399497.0,4.6833,2.369230769230768,0.3230769230769255,2.827990801436054,0.1157376883790149,0.5758093949204721,0.6,0.9,-0.093076923076923,0.3558647214854111,0,4.4,157
Trey Murphy III,NOP,2022-23,Perimeter Scorer,36.79,19997639.0,0.5668,1.538461538461533,-2.369230769230768,-3.066448631641272,0.1014923387399159,0.6383165958485276,0.5,1.1,-0.0928461538461538,0.406,1,20.0,241
