PLAYER_A_ID,PLAYER_B_ID,Player Pair,Shared Minutes,Defensive Synergy,Offensive Synergy,Net Synergy,Scaled Net Synergy,Player A Archetype,Player B Archetype
1627734,1631099,D. Sabonis - K. Murray,2256.0,0.700000000000017,-0.2999999999999971,0.4000000000000199,0.32,Elite Playmaker,Perimeter Scorer
203076,1630559,A. Davis - A. Reaves,1994.0,-1.2000000000000028,0.25,-0.9500000000000028,-0.76,Two-Way Big,Bench / Role Player
203484,1629008,K. Caldwell-Pope - M. Porter Jr.,1988.0,0.5499999999999972,1.0999999999999943,1.6499999999999917,1.32,Perimeter Scorer,Perimeter Scorer
201572,203081,B. Lopez - D. Lillard,1950.0,2.550000000000012,-0.6500000000000057,1.9000000000000057,1.52,Two-Way Big,Elite Playmaker
1627832,1630224,F. VanVleet - J. Green,1936.0,-1.0000000000000142,0.1000000000000085,-0.9000000000000057,-0.72,Elite Playmaker,Versatile Scorer
203497,1630162,R. Gobert - A. Edwards,1922.0,0.9500000000000028,0.3000000000000113,1.2500000000000142,1.0,Two-Way Big,Elite Playmaker
1627734,1628368,D. Sabonis - D. Fox,1915.0,0.9500000000000028,0.5,1.4500000000000028,1.16,Elite Playmaker,Elite Playmaker
203484,203932,K. Caldwell-Pope - A. Gordon,1854.0,0.5499999999999972,-0.0999999999999943,0.4500000000000028,0.36,Perimeter Scorer,Perimeter Scorer
201572,1627736,B. Lopez - M. Beasley,1844.0,0.75,-0.1999999999999886,0.5500000000000114,0.44,Two-Way Big,Perimeter Scorer
1628368,1631099,D. Fox - K. Murray,1824.0,1.1499999999999917,0.0999999999999943,1.2499999999999858,1.0,Elite Playmaker,Perimeter Scorer
203081,1627736,D. Lillard - M. Beasley,1807.0,2.0,0.75,2.75,2.2,Elite Playmaker,Perimeter Scorer
1630532,1631094,F. Wagner - P. Banchero,1799.0,2.3500000000000085,-2.799999999999997,-0.4499999999999886,-0.36,Versatile Scorer,Versatile Scorer
